Paper_name,Paper_link,Included,Reason,Notes
Khair_etal_2017,https://www.ajtmh.org/view/journals/tpmd/97/4/article-p1155.xml,No,Less than 10 samples total,
King_etal_2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8157453/,No,Less than 10 samples total,
Kobayashi_etal_2019,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6447119/,No,Less than 5 deletions total,
Koita_etal_2012,https://www.ncbi.nlm.nih.gov/pubmed/22302847,No,Data not available at sub-ADMIN1,
Kozycki_etal_2017,https://pubmed.ncbi.nlm.nih.gov/28320390/,No,Data not available at sub-ADMIN1,
Kreidenweiss_etal_2019,https://www.thelancet.com/article/S2352-3964(19)30723-6/fulltext#%20,No,Less than 5 deletions total,
Kumar_etal_2013,https://pubmed.ncbi.nlm.nih.gov/23041541/,No,Less than 5 deletions total,
Kumari_etal_2021,https://www.jvbd.org/article.asp?issn=0972-9062;year=2021;volume=58;issue=3;spage=273;epage=280;aulast=Kumari,No,Less than 10 samples total,
Laban_etal_2015,https://pubmed.ncbi.nlm.nih.gov/25888818/,No,Data not available at sub-ADMIN1,
Leonard_etal_2022,https://malariajournal.biomedcentral.com/articles/10.1186/s12936-022-04097-7#citeas,No,Data not available at sub-ADMIN1,
Li_etal_2015,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4918506/,No,Less than 5 deletions total,
Lynch_etal_2022,https://malariajournal.biomedcentral.com/articles/10.1186/s12936-022-04280-w,No,Less than 5 deletions total,
Maltha_etal_2012,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3429466/,No,Data not available at sub-ADMIN1,
McCaffery_etal_2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8626453/,No,Less than 5 deletions total,
McCaffery_etal_2022,https://www.ajtmh.org/view/journals/tpmd/106/6/article-p1667.xml#b12,No,Less than 5 deletions total,
Menegon_etal_2017,https://pubmed.ncbi.nlm.nih.gov/28889944/,No,Data not available at sub-ADMIN1,
Mihreteab_etal_2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8548324/#MOESM1,Yes,,
Munyeku_etal_2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8146217/,Yes,,
Murillo_etal_2015,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0131576,No,Less than 5 deletions total,
Mussa_etal_2019,https://bmcresnotes.biomedcentral.com/articles/10.1186/s13104-019-4361-6,No,Data not available at sub-ADMIN1,
Nderu_etal_2018,https://www.sciencedirect.com/science/article/abs/pii/S138357691830268X#bb0095,No,Less than 5 deletions total,
Nima_etal_2017,https://doi.org/10.4269/ajtmh.16-0884,No,Less than 10 samples total,
Niyukuri_etal_2022,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000828,No,Less than 5 deletions total,
Nolder_etal_2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8295040/,No,Less than 10 samples total,
Nsobya_etal_2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7777526/,No,Data not available at sub-ADMIN1,
Nundu_etal_2022,https://malariajournal.biomedcentral.com/articles/10.1186/s12936-022-04153-2#Tab4,No,Less than 5 deletions total,
Okoth_etal_2015,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0126805,No,Data not available at sub-ADMIN1,
Owusu_etal_2018,https://malariajournal.biomedcentral.com/articles/10.1186/s12936-018-2231-7,No,Less than 10 samples total,
Parr_etal_2017,https://pubmed.ncbi.nlm.nih.gov/28177502/,No,Data not available at sub-ADMIN1,
Parr_etal_2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7985209/,No,Less than 5 deletions total,
Pasquier_etal_2020,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7216663/,No,Less than 10 samples total,
Pati_etal_2018,https://malariajournal.biomedcentral.com/articles/10.1186/s12936-018-2502-3,No,Data not available at sub-ADMIN1,
Plucinski_etal_2019,https://pubmed.ncbi.nlm.nih.gov/31270184/,No,Less than 5 deletions total,
Prosser_etal_2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7853540/,No,Data not available at sub-ADMIN1,
Ramutton_etal_2012,https://pubmed.ncbi.nlm.nih.gov/22898068/,No,Less than 5 deletions total,
Ranadive_etal_2017,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5399938/,No,Less than 10 samples total,
Rogier_etal_2022,https://wwwnc.cdc.gov/eid/article/28/3/21-1499_article,No,Data not available at sub-ADMIN1,
Saenz_etal_2015,https://malariajournal.biomedcentral.com/articles/10.1186/s12936-015-1019-2#Tab3,No,Less than 5 deletions total,
Schlabe_etal_2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7952815/,No,Data not available at sub-ADMIN1,
Shakely_etal_2013,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3762850/,No,Less than 10 samples total,
Solano_etal_2015,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0131576,No,Less than 5 deletions total,
Stabler_etal_2022,https://malariajournal.biomedcentral.com/articles/10.1186/s12936-022-04376-3,No,Data not available at sub-ADMIN1,
Thang_etal_2022,https://malariajournal.biomedcentral.com/articles/10.1186/s12936-022-04399-w,No,Less than 5 deletions total,
Thomson_etal_2019,https://pubmed.ncbi.nlm.nih.gov/31249999/,No,Data not available at sub-ADMIN1,
Trouvay_etal_2013,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0074269,No,Less than 5 deletions total,
Valdivia_etal_2022,https://pubmed.ncbi.nlm.nih.gov/36400806/,Yes,,
Vera_Arias_2015,http://repositorio.puce.edu.ec/bitstream/handle/22000/9745/Claudia_Abigail_Vera_Arias.pdf?sequence=1&isAllowed=y,Yes,,
Vera_Arias_etal_2022,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9246365/,No,Data not available at sub-ADMIN1,
Viana_etal_2017,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0171150,No,Data not available at sub-ADMIN1,
Willie_etal_2018,https://pubmed.ncbi.nlm.nih.gov/29557337/,No,Less than 5 deletions total,
Wurtz_etal_2013,https://malariajournal.biomedcentral.com/articles/10.1186/1475-2875-12-34,No,Less than 5 deletions total,
